date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:37:09	5339/5339	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214db-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/plugins/countdown/jquery.countdown.min.js	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/plugins/countdown/jquery.countdown.min.js	(from http://www.smartpixel.tech/smartmed/)
14:37:09	8415/8415	---MCZ	200	added ('OK')	application/javascript	etag:W/%2220df-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/plugins/animations/wow.min.js	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/plugins/animations/wow.min.js	(from http://www.smartpixel.tech/smartmed/)
14:37:09	1428/1428	---MCZ	200	added ('OK')	application/javascript	etag:W/%22594-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/plugins/theme-options/jquery.cookie.min.js	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/plugins/theme-options/jquery.cookie.min.js	(from http://www.smartpixel.tech/smartmed/)
14:37:09	6833/6833	---MCZ	200	added ('OK')	application/javascript	etag:W/%221ab1-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/plugins/theme-options/theme-options.js	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/plugins/theme-options/theme-options.js	(from http://www.smartpixel.tech/smartmed/)
14:37:10	24057/24057	---MCZ	200	added ('OK')	application/javascript	etag:W/%225df9-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/js/custom.js	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/js/custom.js	(from http://www.smartpixel.tech/smartmed/)
14:37:23	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2212d68-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/fonts/fontawesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/fonts/fontawesome/fonts/fontawesome-webfont3e6e.woff2	(from http://www.smartpixel.tech/smartmed/assets/fonts/fontawesome/css/font-awesome.min.css)
14:37:27	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2217ee8-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/fonts/fontawesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/fonts/fontawesome/fonts/fontawesome-webfont3e6e.woff	(from http://www.smartpixel.tech/smartmed/assets/fonts/fontawesome/css/font-awesome.min.css)
14:37:32	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226c7db-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/fonts/fontawesome/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/fonts/fontawesome/fonts/fontawesome-webfont3e6e.svg	(from http://www.smartpixel.tech/smartmed/assets/fonts/fontawesome/css/font-awesome.min.css)
14:37:32	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/fonts/fontawesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/fonts/fontawesome/fonts/fontawesome-webfont3e6e.eot	(from http://www.smartpixel.tech/smartmed/assets/fonts/fontawesome/css/font-awesome.min.css)
14:37:37	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-58783e79f5e00%22	http://www.smartpixel.tech/smartmed/assets/fonts/fontawesome/fonts/fontawesome-webfont.eot?	C:/Mes%20Sites%20Web/SanteK%20Frontend/www.smartpixel.tech/smartmed/assets/fonts/fontawesome/fonts/fontawesome-webfontd41d.eot	(from http://www.smartpixel.tech/smartmed/assets/fonts/fontawesome/css/font-awesome.min.css)
